   0.265758E-02   0.594815E+01
   0.271126E-02   0.605244E+01
   0.276603E-02   0.615812E+01
   0.282191E-02   0.626521E+01
   0.287892E-02   0.637370E+01
   0.293708E-02   0.648359E+01
   0.299641E-02   0.659485E+01
   0.305694E-02   0.670750E+01
   0.311870E-02   0.682152E+01
   0.318170E-02   0.693690E+01
   0.324597E-02   0.705363E+01
   0.331155E-02   0.717169E+01
   0.337844E-02   0.729107E+01
   0.344669E-02   0.741176E+01
   0.351632E-02   0.753373E+01
   0.358735E-02   0.765697E+01
   0.365982E-02   0.778146E+01
   0.373376E-02   0.790717E+01
   0.380918E-02   0.803409E+01
   0.388613E-02   0.816217E+01
   0.396464E-02   0.829141E+01
   0.404473E-02   0.842177E+01
   0.412644E-02   0.855322E+01
   0.420980E-02   0.868573E+01
   0.429484E-02   0.881927E+01
   0.438160E-02   0.895380E+01
   0.447012E-02   0.908928E+01
   0.456042E-02   0.922568E+01
   0.465255E-02   0.936296E+01
   0.474653E-02   0.950109E+01
   0.484242E-02   0.964001E+01
   0.494024E-02   0.977969E+01
   0.504004E-02   0.992008E+01
   0.514186E-02   0.100611E+02
   0.524573E-02   0.102028E+02
   0.535170E-02   0.103450E+02
   0.545981E-02   0.104877E+02
   0.557011E-02   0.106308E+02
   0.568263E-02   0.107743E+02
   0.579743E-02   0.109183E+02
   0.591455E-02   0.110625E+02
   0.603403E-02   0.112071E+02
   0.615592E-02   0.113519E+02
   0.628028E-02   0.114969E+02
   0.640715E-02   0.116418E+02
   0.653658E-02   0.117867E+02
   0.666863E-02   0.119313E+02
   0.680335E-02   0.120757E+02
   0.694078E-02   0.122198E+02
   0.708100E-02   0.123634E+02
   0.722404E-02   0.125065E+02
   0.736998E-02   0.126490E+02
   0.751886E-02   0.127909E+02
   0.767075E-02   0.129319E+02
   0.782571E-02   0.130722E+02
   0.798380E-02   0.132114E+02
   0.814509E-02   0.133496E+02
   0.830963E-02   0.134865E+02
   0.847750E-02   0.136222E+02
   0.864875E-02   0.137564E+02
   0.882347E-02   0.138890E+02
   0.900171E-02   0.140199E+02
   0.918356E-02   0.141490E+02
   0.936908E-02   0.142761E+02
   0.955835E-02   0.144010E+02
   0.975144E-02   0.145237E+02
   0.994843E-02   0.146439E+02
   0.101494E-01   0.147616E+02
   0.103544E-01   0.148765E+02
   0.105636E-01   0.149886E+02
   0.107770E-01   0.150976E+02
   0.109947E-01   0.152035E+02
   0.112168E-01   0.153060E+02
   0.114434E-01   0.154050E+02
   0.116746E-01   0.155004E+02
   0.119104E-01   0.155920E+02
   0.121510E-01   0.156796E+02
   0.123965E-01   0.157631E+02
   0.126469E-01   0.158422E+02
   0.129024E-01   0.159167E+02
   0.131631E-01   0.159866E+02
   0.134290E-01   0.160517E+02
   0.137003E-01   0.161116E+02
   0.139770E-01   0.161663E+02
   0.142594E-01   0.162156E+02
   0.145474E-01   0.162593E+02
   0.148413E-01   0.162971E+02
   0.151411E-01   0.163290E+02
   0.154470E-01   0.163547E+02
   0.157590E-01   0.163741E+02
   0.160774E-01   0.163870E+02
   0.164022E-01   0.163933E+02
   0.167335E-01   0.163928E+02
   0.170716E-01   0.163853E+02
   0.174164E-01   0.163707E+02
   0.177683E-01   0.163489E+02
   0.181272E-01   0.163197E+02
   0.184934E-01   0.162831E+02
   0.188670E-01   0.162390E+02
   0.192481E-01   0.161872E+02
   0.196370E-01   0.161277E+02
   0.200337E-01   0.160605E+02
   0.204384E-01   0.159854E+02
   0.208513E-01   0.159025E+02
   0.212725E-01   0.158117E+02
   0.217022E-01   0.157130E+02
   0.221406E-01   0.156064E+02
   0.225879E-01   0.154921E+02
   0.230442E-01   0.153700E+02
   0.235097E-01   0.152404E+02
   0.239847E-01   0.151033E+02
   0.244692E-01   0.149588E+02
   0.249635E-01   0.148073E+02
   0.254678E-01   0.146488E+02
   0.259823E-01   0.144837E+02
   0.265072E-01   0.143122E+02
   0.270426E-01   0.141345E+02
   0.275889E-01   0.139511E+02
   0.281463E-01   0.137623E+02
   0.287149E-01   0.135685E+02
   0.292949E-01   0.133700E+02
   0.298867E-01   0.131673E+02
   0.304905E-01   0.129610E+02
   0.311064E-01   0.127515E+02
   0.317348E-01   0.125394E+02
   0.323759E-01   0.123251E+02
   0.330299E-01   0.121092E+02
   0.336972E-01   0.118923E+02
   0.343779E-01   0.116751E+02
   0.350724E-01   0.114580E+02
   0.357809E-01   0.112415E+02
   0.365038E-01   0.110264E+02
   0.372412E-01   0.108133E+02
   0.379935E-01   0.106028E+02
   0.387610E-01   0.103956E+02
   0.395440E-01   0.101922E+02
   0.403429E-01   0.999298E+01
   0.411579E-01   0.979826E+01
   0.419893E-01   0.960832E+01
   0.428375E-01   0.942341E+01
   0.437029E-01   0.924380E+01
   0.445858E-01   0.907000E+01
   0.454865E-01   0.890263E+01
   0.464053E-01   0.874224E+01
   0.473428E-01   0.858937E+01
   0.482992E-01   0.844431E+01
   0.492749E-01   0.830659E+01
   0.502703E-01   0.817555E+01
   0.512858E-01   0.805057E+01
   0.523219E-01   0.793105E+01
   0.533789E-01   0.781644E+01
   0.544572E-01   0.770617E+01
   0.555573E-01   0.759974E+01
   0.566796E-01   0.749664E+01
   0.578246E-01   0.739624E+01
   0.589927E-01   0.729786E+01
